engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
swi-incr	2x200	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	6x2000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	8x20000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swipl-pure	2x200	ok	pure Prolog semi-naive fixed point; retract phase is full recomputation from root 1 and ends after complete sorted-set materialization and count	child-process peak RSS from /usr/bin/time -l	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swipl-pure	6x2000	ok	pure Prolog semi-naive fixed point; retract phase is full recomputation from root 1 and ends after complete sorted-set materialization and count	child-process peak RSS from /usr/bin/time -l	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swipl-pure	8x20000	ok	pure Prolog semi-naive fixed point; retract phase is full recomputation from root 1 and ends after complete sorted-set materialization and count	child-process peak RSS from /usr/bin/time -l	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
differential-dataflow	2x200	ok	differential-dataflow 0.25 with timely 0.31; shared contiguous-node DAG; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage	DL_MEMCAP_MB=4096 requested through RLIMIT_AS; enforcement is best-effort and unverified
differential-dataflow	6x2000	ok	differential-dataflow 0.25 with timely 0.31; shared contiguous-node DAG; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage	DL_MEMCAP_MB=4096 requested through RLIMIT_AS; enforcement is best-effort and unverified
differential-dataflow	8x20000	ok	differential-dataflow 0.25 with timely 0.31; shared contiguous-node DAG; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage	DL_MEMCAP_MB=4096 requested through RLIMIT_AS; enforcement is best-effort and unverified
pglite-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; untimed transfer_ms before=0.969 after=0.469; untimed checksum_validation_ms before=1.137 after=0.088; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
