engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
swi-incr	2x200	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
differential-dataflow	2x200	ok	differential-dataflow 0.25 with timely 0.31; shared contiguous-node DAG; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
sqlite-count	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
tsv2-runtime	2x200	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
sprefa-engine-rs	2x200	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
pglite-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; untimed transfer_ms before=0.987 after=0.436; untimed checksum_validation_ms before=0.931 after=0.082; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
native-postgres-query	2x200	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; untimed transfer_ms before=0.742 after=0.226; untimed checksum_validation_ms before=0.503 after=0.116; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
pglite-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
