engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
native-postgres-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	6x2000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	8x20000	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
swi-incr	2x200	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	6x2000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	8x20000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
differential-dataflow	2x200	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
differential-dataflow	6x2000	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
differential-dataflow	8x20000	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
sqlite-count	2x200	unsupported	plain reference counting does not collect unsupported cycles; use SCC or DRed	no graph loaded	not applicable
sqlite-count	6x2000	unsupported	plain reference counting does not collect unsupported cycles; use SCC or DRed	no graph loaded	not applicable
sqlite-count	8x20000	unsupported	plain reference counting does not collect unsupported cycles; use SCC or DRed	no graph loaded	not applicable
sqlite-count-scc	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=14955fe055a07105; survivor blake3=6e29820385bc6b56	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=95e40b2476927975; survivor blake3=4965a69e9e8ee22d	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=968700d3a18355e1; survivor blake3=4513570c9a2459b4	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=14955fe055a07105; survivor blake3=6e29820385bc6b56	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=95e40b2476927975; survivor blake3=4965a69e9e8ee22d	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
