engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
swi-incr	2x200	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	6x2000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
swi-incr	8x20000	ok	SWI incremental tabling; setup and retract end after table materialization and count; exact ordered initial set matches the generated node range and exact incremental survivor set matches cold table recomputation	process RSS sampled with ps after both phases	DL_MEMCAP_MB is passed by the harness but unenforced by this adapter
differential-dataflow	2x200	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
differential-dataflow	6x2000	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
differential-dataflow	8x20000	ok	differential-dataflow 0.25 with timely 0.31; shared layered graph; setup and retract end after fixed-point materialization and count; exact ordered sets match BFS oracle	process peak RSS from getrusage including untimed oracle allocations	DL_MEMCAP_MB=4096 caps live Rust allocations through CappedAlloc (0 disables); RLIMIT_AS and RLIMIT_DATA are also requested best-effort; total process RSS is not capped
sqlite-count	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
